taxon	taxon rank	candidate	taxon author	synonyms	alternative names	remarks
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Lucisporidia;'ALT lineage';Trichiidae;Oligonema	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Protosporangiida	order					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Protosporangiida;Ceratiomyxa	genus		Schroeter 1889
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Protosporangiida;Protosporangiidae	family		
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Protosporangiida;Protosporangiidae;Clastostelium	genus		
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Protosporangiida;Protosporangiidae;Protosporangium	genus		
Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea	class		Cavalier-Smith et al. 2004
Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea;Acramoeba	genus		
Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea;Angulamoeba	genus		Berney, Bass & Geisen 2015
Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea;Arboramoeba	genus		Berney, Bass & Geisen 2015
Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea;Cavosteliida	order		
Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea;Cavosteliida;Cavostelium	genus		
Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea;Cavosteliida;Schizoplasmodiopsis	genus		
Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea;Cavosteliida;Tychosporium	genus		
Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea;Cavosteliida;'M71 lineage'	genus	true	
Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea;Dictyamoeba	genus		Berney, Bass & Geisen 2015
Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea;Filamoeba	genus		Page 1967
Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea;Flamellidae	family		Cavalier-Smith 2016
Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea;Flamellidae;Flamella	genus		Schaeffer 1926			
Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea;Flamellidae;Flamella;'Faegyptia clade'						deep genetic divergence within genus Flamella
Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea;Flamellidae;Flamella;'Fbalnearia clade'						deep genetic divergence within genus Flamella
Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea;Flamellidae;Flamella;'Fpleistocenica clade'						deep genetic divergence within genus Flamella
Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea;Flamellidae;Telaepolella	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea;Flamellidae;'WIM80 lineage'	genus	true				entirely environmental lineage so far
Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea;Heliamoeba	genus		Berney, Bass & Geisen 2015			
Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea;Holomastigida	order		Lauterborn 1895			
Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea;Holomastigida;Artodiscus	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea;Holomastigida;Belonocystis	genus					no genetic data yet for this genus
Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea;Holomastigida;Multicilia	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea;Ischnamoebidae	family					
Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea;Ischnamoebidae;Darbyshirella	genus		Berney, Bass & Geisen 2015			
Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea;Ischnamoebidae;Ischnamoeba	genus		Berney, Bass & Geisen 2015			
Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea;Phalansterium	genus		Cienkowski 1870			
Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea;Protostelium	genus					
Eukaryota;Amorphea;Amoebozoa;Evosea;Variosea;Schizoplasmodiidae	family					
