taxon	taxon rank	candidate	taxon author	synonyms	alternative names	remarks
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Dictyochophyceae;'PCR clade';Rhizochromulinales	order		O’Kelly & Wujek 1994			
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Dictyochophyceae;'PCR clade';Rhizochromulinales;Rhizochromulina	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Dictyochophyceae;'PCR clade';Rhizochromulinales;Ciliophrys	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Eustigmatophyceae	class					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Eustigmatophyceae;Eustigmatales	order		Hibberd 1981			
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Eustigmatophyceae;Eustigmatales;Monodopsidaceae	family					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Eustigmatophyceae;Eustigmatales;Monodopsidaceae;Microchloropsis	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Eustigmatophyceae;Eustigmatales;Monodopsidaceae;Monodopsis	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Eustigmatophyceae;Eustigmatales;Monodopsidaceae;Nannochloropsis	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Eustigmatophyceae;Eustigmatales;Monodopsidaceae;Pseudotetraedriella	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Eustigmatophyceae;Eustigmatales;'PCE clade'						18S-based group; Chloridella, Eustigmatos, Pseudocharaciopsis, and related genera
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Eustigmatophyceae;Eustigmatales;'PCE clade';Characiopsis	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Eustigmatophyceae;Eustigmatales;'PCE clade';Chloridella	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Eustigmatophyceae;Eustigmatales;'PCE clade';Chlorobotrys	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Eustigmatophyceae;Eustigmatales;'PCE clade';Eustigmatos	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Eustigmatophyceae;Eustigmatales;'PCE clade';Pseudocharaciopsis	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Eustigmatophyceae;Eustigmatales;'PCE clade';Vischeria	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Eustigmatophyceae;Eustigmatales;'P group'						18S-based group; only one described genus Pseudellipsoidion in this group, but contains strains pending description
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Eustigmatophyceae;Eustigmatales;'P group';Pseudellipsoidion	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Eustigmatophyceae;Goniochloridales	order					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Eustigmatophyceae;Goniochloridales;'clade IIa'						18S-based group; only one described genus Trachydiscus in this group, but contains strains pending description
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Eustigmatophyceae;Goniochloridales;'clade IIa';Trachydiscus	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Eustigmatophyceae;Goniochloridales;'clade IIb'						18S-based group; only one described genus Goniochloris in this group, but contains strains pending description
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Eustigmatophyceae;Goniochloridales;'clade IIb';Goniochloris	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Eustigmatophyceae;Goniochloridales;'clade IIc'						18S-based group; only one described genus Vacuoliviride in this group, but contains strains pending description
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Eustigmatophyceae;Goniochloridales;'clade IIc';Vacuoliviride	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Eustigmatophyceae;Goniochloridales;Pseudostaurastrum	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Eustigmatophyceae;Paraeustigmatos	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Olisthodiscus	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pelagophyceae	class		Andersen & Saunders 1993			
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pelagophyceae;Pelagomonadales	order		Andersen & Saunders 1993			
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pelagophyceae;Pelagomonadales;Pelagomonas	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pelagophyceae;Pelagomonadales;Ankylochrysis	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pelagophyceae;Pelagomonadales;Aureococcus	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pelagophyceae;Pelagomonadales;Pelagococcus	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pelagophyceae;Sarcinochrysidales	order		Gayral & Billard 1977			
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pelagophyceae;Sarcinochrysidales;Sarcinochrysidaceae	family					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pelagophyceae;Sarcinochrysidales;Sarcinochrysidaceae;Sarcinochrysis	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pelagophyceae;Sarcinochrysidales;Sarcinochrysidaceae;Andersenia	genus		Wetherbee & Waller 2015 in Wetherbee et al. 2015			
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pelagophyceae;Sarcinochrysidales;Sarcinochrysidaceae;Arachnochrysis	genus		Andersen & Han 2018 in Han et al. 2018			
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pelagophyceae;Sarcinochrysidales;Sarcinochrysidaceae;Aureoscheda	genus		
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pelagophyceae;Sarcinochrysidales;Sarcinochrysidaceae;Aureoumbra	genus		
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pelagophyceae;Sarcinochrysidales;Sarcinochrysidaceae;Chrysonephos	genus		
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pelagophyceae;Sarcinochrysidales;Sarcinochrysidaceae;Gazia	genus		
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pelagophyceae;Sarcinochrysidales;Sarcinochrysidaceae;Glomerochrysis	genus		
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pelagophyceae;Sarcinochrysidales;Sarcinochrysidaceae;Nematochrysopsis	genus		
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pelagophyceae;Sarcinochrysidales;Sarcinochrysidaceae;Pelagospilus	genus		Andersen & Graf 2018 in Han et al. 2018
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pelagophyceae;Sarcinochrysidales;Sarcinochrysidaceae;Sargassococcus	genus		Andersen & Melkonian 2018 in Han et al. 2018
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pelagophyceae;Sarcinochrysidales;Sarcinochrysidaceae;'CCMP-3193 lineage'	genus	true	
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pelagophyceae;Sarcinochrysidales;Chrysocystaceae	family		Melkonian, Yoon & Andersen 2018 in Han et al. 2018
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pelagophyceae;Sarcinochrysidales;Chrysocystaceae;Chrysocystis	genus		
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pelagophyceae;Sarcinochrysidales;Chrysocystaceae;Chrysophaeum	genus		
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pelagophyceae;Sarcinochrysidales;Chrysocystaceae;Chrysoreinhardia	genus		
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pelagophyceae;Sarcinochrysidales;Chrysocystaceae;Pulvinaria	genus		
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pelagophyceae;Sarcinochrysidales;Chrysocystaceae;Sungminbooa	genus		Yoon & Andersen 2018 in Han et al. 2018
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pinguiophyceae	class		Kawachi et al. 2003
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pinguiophyceae;Glossomastix	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pinguiophyceae;Phaeomonas	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pinguiophyceae;Pinguiochrysis	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pinguiophyceae;Pinguiococcus	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Pinguiophyceae;Polypodochrysis	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade'						18S-based group; Phaeophyceae, Xanthophyceae, and related taxa
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeophyceae	class		Hansgirg 1886			
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeophyceae;Discosporangiales	order					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeophyceae;Discosporangiales;Choristocarpus	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeophyceae;Discosporangiales;Discosporangium	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeophyceae;Ishigeales	order					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeophyceae;Ishigeales;Ishige	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeophyceae;Ishigeales;Diplura	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeophyceae;Ishigeales;Petroderma	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeophyceae;Ishigeales;Porterinema	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeophyceae;Dictyotophycidae						
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeophyceae;Dictyotophycidae;Dictyotales	order
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeophyceae;Dictyotophycidae;Onslowiales	order
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeophyceae;Dictyotophycidae;Sphacelariales	order
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeophyceae;Dictyotophycidae;Syringodermatales	order
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeophyceae;Fucophycidae	
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeophyceae;Fucophycidae;Fucales	order
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeophyceae;Fucophycidae;Ascoseirales	order
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeophyceae;Fucophycidae;Asterocladonales	order
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeophyceae;Fucophycidae;Desmarestiales	order
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeophyceae;Fucophycidae;Ectocarpales	order
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeophyceae;Fucophycidae;Laminariales	order
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeophyceae;Fucophycidae;Nemodermatales	order
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeophyceae;Fucophycidae;Phaeosiphoniellales	order
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeophyceae;Fucophycidae;Ralfsiales	order
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeophyceae;Fucophycidae;Scytothamnales	order
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeophyceae;Fucophycidae;Sporochnales	order
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeophyceae;Fucophycidae;Tilopteridales	order					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeophyceae;Fucophycidae;Bachelotiaceae	family					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Xanthophyceae	class		Fritsch 1935			
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Xanthophyceae;'botrydiopsaleans'						18S-based group; Botrydiopsis and related taxa
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Xanthophyceae;'botrydiopsaleans';Botrydiopsis	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Xanthophyceae;'botrydiopsaleans';Botryochloris	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Xanthophyceae;'botrydiopsaleans';Pleurochloris	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Xanthophyceae;'botrydiopsaleans';Sphaerosorus	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Xanthophyceae;'botrydiopsaleans';'new genus C'	genus	true				
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Xanthophyceae;'botrydiopsaleans';'SAG-2473 lineage'	genus	true				
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Xanthophyceae;'chlorellidialeans'						18S-based group; Chlorellidium and related taxa
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Xanthophyceae;'chlorellidialeans';Chlorellidium	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Xanthophyceae;'chlorellidialeans';Excentrochloris	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Xanthophyceae;'chlorellidialeans';Heterococcus	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Xanthophyceae;'tribonemataleans'						18S-based group; Tribonema and related taxa
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Xanthophyceae;'tribonemataleans';Tribonema	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Xanthophyceae;'tribonemataleans';Asterosiphon	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Xanthophyceae;'tribonemataleans';Botrydium	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Xanthophyceae;'tribonemataleans';Bumilleria	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Xanthophyceae;'tribonemataleans';Bumilleriopsis	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Xanthophyceae;'tribonemataleans';Heterothrix	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Xanthophyceae;'tribonemataleans';Ophiocytium	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Xanthophyceae;'tribonemataleans';Pseudobumilleriopsis	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Xanthophyceae;'tribonemataleans';Xanthonema	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Xanthophyceae;'tribonemataleans';'PAB-735 lineage'	genus	true				
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Xanthophyceae;Mischococcus	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Xanthophyceae;Pseudopleurochloris	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Xanthophyceae;Vaucheria	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Xanthophyceae;'new genus B'	genus	true				
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeosacciales	order		Andersen, Graf & Yoon 2020 in Graf et al. 2020		Phaeosacciophyceae	single order Phaeosacciales in class Phaeosacciophyceae Andersen, Graf & Yoon 2020 in Graf et al. 2020
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeosacciales;Tetrasporopsidaceae	family		Andersen, Graf & Yoon 2020 in Graf et al. 2020			
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeosacciales;Tetrasporopsidaceae;Tetrasporopsis	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeosacciales;Tetrasporopsidaceae;Psammochrysis	genus		Wetherbee 2020 in Graf et al. 2020			
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeosacciales;Phaeosacciaceae	class					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeosacciales;Phaeosacciaceae;Antarctosaccion	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeosacciales;Phaeosacciaceae;Phaeosaccion	genus		Farlow 1882			
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeothamniales	order					single order Phaeothamniales in class Phaeothamniophyceae
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeothamniales;Phaeothamnion	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeothamniales;Phaeoschizochlamys	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Phaeothamniales;Stichogloea	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Pleurochloridales	order					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Pleurochloridales;Pleurochloridella	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Pleurochloridales;Phaeobotrys	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Aurearena	genus				Aurearenophyceae	single genus Aurearena in class Aurearenophyceae
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Chrysoparadoxa	genus				Chrysoparadoxophyceae	single genus Chrysoparadoxa in class Chrysoparadoxophyceae 
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Nematochrysis	genus		Carter 1937	Chrysowaernella		
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';Schizocladia	genus		Henry et al. in Kawai et al. 2003		Schizocladiophyceae	single genus Schizocladia in class Schizocladiophyceae
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;'PX clade';'new genus D'	genus	true				
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Chrysomeris	genus		Carter 1937		Chrysomeridophyceae	no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Chrysonephos	genus					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Giraudyopsis	genus		Dangeard 1965			no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Nematochrysopsis	genus		Chadefaud 1947			no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Rhamnochrysis	genus		Wilce & Markey 1974			no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Raphidophyceae	class		Silva 1980			
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Raphidophyceae;'Chloromorum'	genus	true				validity of the name disputed, but forms a distinct genetic lineage
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Raphidophyceae;'core raphidophytes'						18S-based group; all Raphidophyceae except Chloromorum form a well-supported clade
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Raphidophyceae;'core raphidophytes';Fibrocapsa	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Raphidophyceae;'core raphidophytes';Chattonellaceae	family					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Raphidophyceae;'core raphidophytes';Chattonellaceae;Chattonella	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Raphidophyceae;'core raphidophytes';Chattonellaceae;Chlorinimonas	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Raphidophyceae;'core raphidophytes';Chattonellaceae;Heterosigma	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Raphidophyceae;'core raphidophytes';Chattonellaceae;Viridilobus	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Raphidophyceae;'core raphidophytes';Haramonadaceae	family					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Raphidophyceae;'core raphidophytes';Haramonadaceae;Haramonas	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Raphidophyceae;'core raphidophytes';Haramonadaceae;Psammamonas	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Raphidophyceae;'core raphidophytes';Vacuolariaceae	family					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Raphidophyceae;'core raphidophytes';Vacuolariaceae;Gonyostomum	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Raphidophyceae;'core raphidophytes';Vacuolariaceae;Merotricha	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Ochrophyta;Raphidophyceae;'core raphidophytes';Vacuolariaceae;Vacuolaria	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Peronosporomycetes			Dick 2001		Oomycetes; Oomycota	
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Peronosporomycetes;Eurychasma	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Peronosporomycetes;Haptoglossa	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Peronosporomycetes;'core oomycetes'						18S-based group; all Peronosporomycetes except Eurychasma and Haptoglossa form a well-supported clade
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Peronosporomycetes;'core oomycetes';'AO clade'						18S-based group; Olpidiopsis and Anisolpidiaceae form a well-supported clade
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Peronosporomycetes;'core oomycetes';'AO clade';Olpidiopsis	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Peronosporomycetes;'core oomycetes';'AO clade';Anisolpidiaceae	family		Dick 2001			
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Peronosporomycetes;'core oomycetes';'AO clade';Anisolpidiaceae;Anisolpidium	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Peronosporomycetes;'core oomycetes';'AO clade';Anisolpidiaceae;Canteriomyces	genus					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Peronosporomycetes;'core oomycetes';Haliphthorales	order					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Peronosporomycetes;'core oomycetes';Haliphthorales;Haliphthoros	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Peronosporomycetes;'core oomycetes';Haliphthorales;Halocrusticida	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Peronosporomycetes;'core oomycetes';Haliphthorales;Halodaphnea	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Peronosporomycetes;'core oomycetes';'PS clade'						18S-based group; peronosporaleans, saprolegnialeans, and related taxa
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Peronosporomycetes;'core oomycetes';'PS clade';Chlamydomyzium	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Peronosporomycetes;'core oomycetes';'PS clade';Halioticida	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Peronosporomycetes;'core oomycetes';'PS clade';Sapromyces	genus					
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Peronosporomycetes;'core oomycetes';'PS clade';'peronosporaleans'						18S-based group; Peronospora and related taxa
Eukaryota;Diaphoretickes;Sar;Stramenopiles;Gyrista;Peronosporomycetes;'core oomycetes';'PS clade';'peronosporaleans';Peronospora	genus					
